name;model;spec_name;spec_value;spec_value_US;spec_value_INT
Rotary Drills;MD6250;Components (23);Drill Assist automated functionality:– Auto level, auto jack retract– Auto mast raise and lock, auto mast unlock and park Drill Assist automated functionality:– Auto level, auto jack retract– Auto mast raise and lock, auto mast unlock and park;['Drill', 'Assist'];['and', 'park']
Rotary Drills;MD6250;Components (1);All electric controls for drilling, tramming, leveling plus auxiliary functions All electric controls for drilling, tramming, leveling plus auxiliary functions;['All', 'electric'];['auxiliary', 'functions']
Rotary Drills;MD6250;Components (2);Electronic compressor control Electronic compressor control;['Electronic', 'compressor'];['compressor', 'control']
Rotary Drills;MD6250;Components (3);Rotary torque control Rotary torque control;['Rotary', 'torque'];['torque', 'control']
Rotary Drills;MD6250;Components (4);Virtual rotary head travel stops and interlocks Virtual rotary head travel stops and interlocks;['Virtual', 'rotary'];['and', 'interlocks']
Rotary Drills;MD6250;Components (5);Pipe positioner engaged/disengaged indicator Pipe positioner engaged/disengaged indicator;['Pipe', 'positioner'];['engaged/disengaged', 'indicator']
Rotary Drills;MD6250;Components (6);Drill depth meter Drill depth meter;['Drill', 'depth'];['depth', 'meter']
Rotary Drills;MD6250;Components (7);Drill performance and drill health display system Drill performance and drill health display system;['Drill', 'performance'];['display', 'system']
Rotary Drills;MD6250;Components (8);Data logging of machine health with warnings and fault code records with export capability Data logging of machine health with warnings and fault code records with export capability;['Data', 'logging'];['export', 'capability']
Rotary Drills;MD6250;Components (9);Delayed engine shut down Delayed engine shut down;['Delayed', 'engine'];['shut', 'down']
Rotary Drills;MD6250;Components (10);Rotary head rpm gauge (digital display in screen) Rotary head rpm gauge (digital display in screen);['Rotary', 'head'];['in', 'screen)']
Rotary Drills;MD6250;Components (11);Filter indicators for hydraulic, fuel, compressor and engine Filter indicators for hydraulic, fuel, compressor and engine;['Filter', 'indicators'];['and', 'engine']
Rotary Drills;MD6250;Components (12);Jack pressure sensors in display Jack pressure sensors in display;['Jack', 'pressure'];['in', 'display']
Rotary Drills;MD6250;Components (13);Dust suppression control Dust suppression control;['Dust', 'suppression'];['suppression', 'control']
Rotary Drills;MD6250;Components (14);Mast lock indicator Mast lock indicator;['Mast', 'lock'];['lock', 'indicator']
Rotary Drills;MD6250;Components (15);ECM proportional fan speed control system ECM proportional fan speed control system;['ECM', 'proportional'];['control', 'system']
Rotary Drills;MD6250;Components (16);Tram interlock, machine stability limits Tram interlock, machine stability limits;['Tram', 'interlock,'];['stability', 'limits']
Rotary Drills;MD6250;Components (17);Tram interlock, pipe in hole Tram interlock, pipe in hole;['Tram', 'interlock,'];['in', 'hole']
Rotary Drills;MD6250;Components (18);Tram interlock, mast up and locked or down and parked Tram interlock, mast up and locked or down and parked;['Tram', 'interlock,'];['and', 'parked']
Rotary Drills;MD6250;Components (19);Tram interlock, jack retracted Tram interlock, jack retracted;['Tram', 'interlock,'];['jack', 'retracted']
Rotary Drills;MD6250;Components (20);Tram interlock, winch parked Tram interlock, winch parked;['Tram', 'interlock,'];['winch', 'parked']
Rotary Drills;MD6250;Components (21);Cab environment controls (AC, filter, heat, fan speeds) Cab environment controls (AC, filter, heat, fan speeds);['Cab', 'environment'];['fan', 'speeds)']
Rotary Drills;MD6250;Width Non-Cab End;15.9 ft 4.845 m;['15.9', 'ft'];['4.845', 'm']
Rotary Drills;MD6250;Width Cab End;18.45 ft 5.625 m;['18.45', 'ft'];['5.625', 'm']
Rotary Drills;MD6250;Mast Only Shipping Length;53.5 ft 16.32 m;['53.5', 'ft'];['16.32', 'm']
Rotary Drills;MD6250;Height - Mast Up;56.3 ft 17.146 m;['56.3', 'ft'];['17.146', 'm']
Rotary Drills;MD6250;Body Length;38.41 ft 11.708 m;['38.41', 'ft'];['11.708', 'm']
Rotary Drills;MD6250;Length - Mast Down;58.3 ft 17.78 m;['58.3', 'ft'];['17.78', 'm']
Rotary Drills;MD6250;Height - Mast Down;16.84 ft 5.134 m;['16.84', 'ft'];['5.134', 'm']
Rotary Drills;MD6250;Receiver Tank Choice (1);Low pressure 8.6 bar (125 psi) for ASME/CRN/AU or CE Low pressure 8.6 bar (125 psi) for ASME/CRN/AU or CE;['Low', 'pressure'];['or', 'CE']
Rotary Drills;MD6250;Receiver Tank Choice (2);High pressure 24.1 or 34.4 bar (350 or 500 psi) for ASME/CRN/AU or CE High pressure 24.1 or 34.4 bar (350 or 500 psi) for ASME/CRN/AU or CE;['High', 'pressure'];['or', 'CE']
Rotary Drills;MD6250;Compressor - Rotary Drilling;56.6 m³/min (2,000 ft³/min) @ 8.6 bar (125 psi) 56.6 m³/min (2,000 ft³/min) @ 8.6 bar (125 psi);['56.6', 'm³/min'];['(125', 'psi)']
Rotary Drills;MD6250;Compressor - DTH Drilling (1);38.2 m³/min (1,350 ft³/min) @ 34.4 bar (500 psi) 38.2 m³/min (1,350 ft³/min) @ 34.4 bar (500 psi);['38.2', 'm³/min'];['(500', 'psi)']
Rotary Drills;MD6250;Compressor - DTH Drilling (2);42.4 m³/min (1,500 ft³/min) @ 24.1 bar (350 psi) 42.4 m³/min (1,500 ft³/min) @ 24.1 bar (350 psi);['42.4', 'm³/min'];['(350', 'psi)']
Rotary Drills;MD6250;Features (1);With the compressor’s variable volume control, the operator can limit air output resulting in reduced fuel consumption With the compressor’s variable volume control, the operator can limit air output resulting in reduced fuel consumption;['With', 'the'];['fuel', 'consumption']
Rotary Drills;MD6250;Features (2);Electronic compressor control and regulation Electronic compressor control and regulation;['Electronic', 'compressor'];['and', 'regulation']
Rotary Drills;MD6250;Features (3);DTH selection includes tool oiler DTH selection includes tool oiler;['DTH', 'selection'];['tool', 'oiler']
Rotary Drills;MD6250;Angle Drilling;Included with either mast Included with either mast;['Included', 'with'];['either', 'mast']
Rotary Drills;MD6250;Mast Accessories Manual - 11.2 m (36.7 ft) or 13.6 m (44.6 ft) Mast;One (1) wire rope pipe catcher, manual bit basket One (1) wire rope pipe catcher, manual bit basket;['One', '(1)'];['bit', 'basket']
Rotary Drills;MD6250;Mast Accessories Hydraulic - 11.2 m (36.7 ft) Mast;One (1) hydraulically actuated pipe catcher, hydraulically operated bit basket One (1) hydraulically actuated pipe catcher, hydraulically operated bit basket;['One', '(1)'];['bit', 'basket']
Rotary Drills;MD6250;Mast Accessories Hydraulic - 13.6 m (44.6 ft) Mast;One (1) hydraulically actuated pipe catcher, plus one (1) wire rope pipe catcher, hydraulically operated bit basket One (1) hydraulically actuated pipe catcher, plus one (1) wire rope pipe catcher, hydraulically operated bit basket;['One', '(1)'];['bit', 'basket']
Rotary Drills;MD6250;Lifting Bails (Available on Request);– API thread 89 mm (3.5 in) – to lift corresponding drill tools (6.75 in tricone bits or 6-inch class DTH hammers)– API thread 114 mm (4.5 in) – to lift corresponding drill tooling (7.875 and 9 in tricone bits or 8-inch class DTH hammers)– API thread 140 mm (5.5 in) – to lift shock sub adapter– BECO thread 102 mm (4 in) – to lift corresponding drill pipe (5.5 in OD)– BECO thread 114 mm (4.5 in) – to lift corresponding drill pipe (6.0, 6.5, 6.625 and 7 in OD)– BECO thread 152 mm (6 in) – to lift corresponding drill pipe (7.625 in OD) – API thread 89 mm (3.5 in) – to lift corresponding drill tools (6.75 in tricone bits or 6-inch class DTH hammers)– API thread 114 mm (4.5 in) – to lift corresponding drill tooling (7.875 and 9 in tricone bits or 8-inch class DTH hammers)– API thread 140 mm (5.5 in) – to lift shock sub adapter– BECO thread 102 mm (4 in) – to lift corresponding drill pipe (5.5 in OD)– BECO thread 114 mm (4.5 in) – to lift corresponding drill pipe (6.0, 6.5, 6.625 and 7 in OD)– BECO thread 152 mm (6 in) – to lift corresponding drill pipe (7.625 in OD);['–', 'API'];['in', 'OD)']
Rotary Drills;MD6250;6.1 m (20 ft) Pipes for 13.6 m (44.6 ft) Mast - holds quantity of four (4) - Option 4;6.5 in 165 mm;['6.5', 'in'];['165', 'mm']
Rotary Drills;MD6250;6.1 m (20 ft) Pipes for 13.6 m (44.6 ft) Mast - holds quantity of four (4) - Option 1;5 in 127 mm;['5', 'in'];['127', 'mm']
Rotary Drills;MD6250;6.1 m (20 ft) Pipes for 13.6 m (44.6 ft) Mast - holds quantity of four (4) - Option 6;7.625 in 194 mm;['7.625', 'in'];['194', 'mm']
Rotary Drills;MD6250;10.6 m (35 ft) Pipes for 11.2 m (36.7 ft) Mast - holds quantity of four (4) - Option 1;5 in 127 mm;['5', 'in'];['127', 'mm']
Rotary Drills;MD6250;6.1 m (20 ft) Pipes for 13.6 m (44.6 ft) Mast - holds quantity of four (4) - Option 3;6 in 152 mm;['6', 'in'];['152', 'mm']
Rotary Drills;MD6250;10.6 m (35 ft) Pipes for 11.2 m (36.7 ft) Mast - holds quantity of four (4) - Option 6;7.625 in 194 mm;['7.625', 'in'];['194', 'mm']
Rotary Drills;MD6250;10.6 m (35 ft) Pipes for 11.2 m (36.7 ft) Mast - holds quantity of four (4) - Option 4;6.5 in 165 mm;['6.5', 'in'];['165', 'mm']
Rotary Drills;MD6250;10.6 m (35 ft) Pipes for 11.2 m (36.7 ft) Mast - holds quantity of four (4) - Option 3;6 in 152 mm;['6', 'in'];['152', 'mm']
Rotary Drills;MD6250;10.6 m (35 ft) Pipes for 11.2 m (36.7 ft) Mast - holds quantity of four (4) - Option 2;5.5 in 140 mm;['5.5', 'in'];['140', 'mm']
Rotary Drills;MD6250;10.6 m (35 ft) Pipes for 11.2 m (36.7 ft) Mast - holds quantity of four (4) - Option 5;7 in 178 mm;['7', 'in'];['178', 'mm']
Rotary Drills;MD6250;6.1 m (20 ft) Pipes for 13.6 m (44.6 ft) Mast - holds quantity of four (4) - Option 2;5.5 in 140 mm;['5.5', 'in'];['140', 'mm']
Rotary Drills;MD6250;6.1 m (20 ft) Pipes for 13.6 m (44.6 ft) Mast - holds quantity of four (4) - Option 5;7 in 178 mm;['7', 'in'];['178', 'mm']
Rotary Drills;MD6250;Pipe rack carousel, standard:;– 11.2 m (36.7 ft) Mast: holds quantity of four (4) 10.6 m (35 ft) pipes– 13.6 m (44.6 ft) Mast: holds quantity of four (4) 6.1 m (20 ft) pipes – 11.2 m (36.7 ft) Mast: holds quantity of four (4) 10.6 m (35 ft) pipes– 13.6 m (44.6 ft) Mast: holds quantity of four (4) 6.1 m (20 ft) pipes;['–', '11.2'];['ft)', 'pipes']
Rotary Drills;MD6250;Features (7);Sliding deck wrench assembly Sliding deck wrench assembly;['Sliding', 'deck'];['wrench', 'assembly']
Rotary Drills;MD6250;13.6 m (44.6 ft) Mast - Hole Diameter Range: 152-250 mm (6-9.875 in) - Single-Pass Depth;44.6 ft 13.6 m;['44.6', 'ft'];['13.6', 'm']
Rotary Drills;MD6250;11.2 m (36.7 ft) Mast - Hole Diameter Range: 152-250 mm (6-9.875 in) - Single-Pass Depth;36.7 ft 11.2 m;['36.7', 'ft'];['11.2', 'm']
Rotary Drills;MD6250;Features (5);Auto tensioning of pull down and hoist cables Auto tensioning of pull down and hoist cables;['Auto', 'tensioning'];['hoist', 'cables']
Rotary Drills;MD6250;11.2 m (36.7 ft) Mast - Hoist Speed;2.65 ft/s 0.81 m/s;['2.65', 'ft/s'];['0.81', 'm/s']
Rotary Drills;MD6250;Features (3);Drill strings configured for bit changes (above the deck) Drill strings configured for bit changes (above the deck);['Drill', 'strings'];['the', 'deck)']
Rotary Drills;MD6250;Features (1);Mast configurations complete with pipe rack carousel and angle drilling package (vertical, out to 30 degrees in 5-degree increments) Mast configurations complete with pipe rack carousel and angle drilling package (vertical, out to 30 degrees in 5-degree increments);['Mast', 'configurations'];['5-degree', 'increments)']
Rotary Drills;MD6250;Features (8);Configured with roller deck bushing for tricone applications, two-piece deck bushing for DTH Configured with roller deck bushing for tricone applications, two-piece deck bushing for DTH;['Configured', 'with'];['for', 'DTH']
Rotary Drills;MD6250;Features (10);Drill pipe positioner Drill pipe positioner;['Drill', 'pipe'];['pipe', 'positioner']
Rotary Drills;MD6250;Features (11);Rotation gear box with single motor up to 160 rpm, up to 11 700 N∙m (8,629 lbf-ft) torque Rotation gear box with single motor up to 160 rpm, up to 11 700 N∙m (8,629 lbf-ft) torque;['Rotation', 'gear'];['lbf-ft)', 'torque']
Rotary Drills;MD6250;Features (9);Closed circuit camera in mast is used to view pipe rack carousel/top drive operation while racking pipes Closed circuit camera in mast is used to view pipe rack carousel/top drive operation while racking pipes;['Closed', 'circuit'];['racking', 'pipes']
Rotary Drills;MD6250;Features (6);Variable grip hydraulic break out wrench for range of pipe diameters Variable grip hydraulic break out wrench for range of pipe diameters;['Variable', 'grip'];['pipe', 'diameters']
Rotary Drills;MD6250;11.2 m (36.7 ft) Mast - Hole Diameter Range: 152-250 mm (6-9.875 in) - Multi-Pass Depth;Down to 53.9 m (Down to 176.7 ft) Down to 53.9 m (Down to 176.7 ft);['Down', 'to'];['176.7', 'ft)']
Rotary Drills;MD6250;Features (4);Single Hydraulic Cylinder and cable system for pulldown/hoist Single Hydraulic Cylinder and cable system for pulldown/hoist;['Single', 'Hydraulic'];['for', 'pulldown/hoist']
Rotary Drills;MD6250;Features (2);Hydraulically actuated, self-indexing pipe rack carousel accepts pipe diameters from 127 mm (5 in) to 194 mm (7.625 in) Hydraulically actuated, self-indexing pipe rack carousel accepts pipe diameters from 127 mm (5 in) to 194 mm (7.625 in);['Hydraulically', 'actuated,'];['(7.625', 'in)']
Rotary Drills;MD6250;13.6 m (44.6 ft) Mast - Hole Diameter Range: 152-250 mm (6-9.875 in) - Multi-Pass Depth;Down to 37.9 m (Down to 124.6 ft) Down to 37.9 m (Down to 124.6 ft);['Down', 'to'];['124.6', 'ft)']
Rotary Drills;MD6250;13.6 m (44.6 ft) Mast - Hoist Speed;2.16 ft/s 0.66 m/s;['2.16', 'ft/s'];['0.66', 'm/s']
Rotary Drills;MD6250;11.2 m (36.7 ft) Mast - Bit Load (single pass);Up to 22 321 kg (Up to 49,210 lb) Up to 22 321 kg (Up to 49,210 lb);['Up', 'to'];['49,210', 'lb)']
Rotary Drills;MD6250;11.2 m (36.7 ft) Mast - Pull-Down Capacity;Up to 20 411 kg (Up to 45,000 lb) Up to 20 411 kg (Up to 45,000 lb);['Up', 'to'];['45,000', 'lb)']
Rotary Drills;MD6250;13.6 m (44.6 ft) Mast - Bit Load (single pass);Up to 32 655 kg (Up to 71,993 lb) Up to 32 655 kg (Up to 71,993 lb);['Up', 'to'];['71,993', 'lb)']
Rotary Drills;MD6250;13.6 m (44.6 ft) Mast - Pull-Down Capacity;Up to 29 483 kg (Up to 65,000 lb) Up to 29 483 kg (Up to 65,000 lb);['Up', 'to'];['65,000', 'lb)']
Rotary Drills;MD6250;13.6 m (44.6 ft) Mast - Hoist Capacity;Up to 22 113 kg (Up to 48,750 lb) Up to 22 113 kg (Up to 48,750 lb);['Up', 'to'];['48,750', 'lb)']
Rotary Drills;MD6250;11.2 m (36.7 ft) Mast - Hoist Capacity;Up to 20 411 kg (Up to 45,000 lb) Up to 20 411 kg (Up to 45,000 lb);['Up', 'to'];['45,000', 'lb)']
Rotary Drills;MD6250;Components (1);One-piece roller deck bushing One-piece roller deck bushing;['One-piece', 'roller'];['deck', 'bushing']
Rotary Drills;MD6250;Components (2);Pipe positioner rollers Pipe positioner rollers;['Pipe', 'positioner'];['positioner', 'rollers']
Rotary Drills;MD6250;Components (3);Deck wrench Deck wrench;['Deck', 'wrench'];['Deck', 'wrench']
Rotary Drills;MD6250;Components (4);Top sub Top sub;['Top', 'sub'];['Top', 'sub']
Rotary Drills;MD6250;Components (5);Bit sub Bit sub;['Bit', 'sub'];['Bit', 'sub']
Rotary Drills;MD6250;Components (6);Pipe wiper seal Pipe wiper seal;['Pipe', 'wiper'];['wiper', 'seal']
Rotary Drills;MD6250;Torque - Single Motor;8629 lb/ft 11700 N·m;['8629', 'lb/ft'];['11700', 'N·m']
Rotary Drills;MD6250;Rotation Speed;0-160 rpm 0-160 rpm;['0-160', 'rpm'];['0-160', 'rpm']
Rotary Drills;MD6250;Components (1);Spindle – 140 mm (5.5 in) API regular thread with splined collar Spindle – 140 mm (5.5 in) API regular thread with splined collar;['Spindle', '–'];['splined', 'collar']
Rotary Drills;MD6250;Components (2);Rotary torque control Rotary torque control;['Rotary', 'torque'];['torque', 'control']
Rotary Drills;MD6250;Components (3);Virtual rotary head travel interlocks Virtual rotary head travel interlocks;['Virtual', 'rotary'];['travel', 'interlocks']
Rotary Drills;MD6250;Type (1);Cat Terrain ready Cat Terrain ready;['Cat', 'Terrain'];['Terrain', 'ready']
Rotary Drills;MD6250;Type (2);Autonomy ready Autonomy ready;['Autonomy', 'ready'];['Autonomy', 'ready']
Rotary Drills;MD6250;Components (1);Drill depth indicator Drill depth indicator;['Drill', 'depth'];['depth', 'indicator']
Rotary Drills;MD6250;Components (2);Product Link™ Elite (hardware from factory, subscription package via dealer) Product Link™ Elite (hardware from factory, subscription package via dealer);['Product', 'Link™'];['via', 'dealer)']
Rotary Drills;MD6250;Choices (1);Water injection – tank mounted below front deck 1271 L (336 gal)– Water flow meter, volume control, tank fill level indicator Water injection – tank mounted below front deck 1271 L (336 gal)– Water flow meter, volume control, tank fill level indicator;['Water', 'injection'];['level', 'indicator']
Rotary Drills;MD6250;Choices (2);"Water injection plus dry dust collector 127 m³/min (4,500 ft³/min) dust collector; includes standard water injection– Self-cleaning filters, dust chute with ejector Water injection plus dry dust collector 127 m³/min (4,500 ft³/min) dust collector; includes standard water injection– Self-cleaning filters, dust chute with ejector";['Water', 'injection'];['with', 'ejector']
Rotary Drills;MD6250;Choices (3);High volume water injection (maximum) – tanks total capacity 2786 L (736 gal)– Tank below deck (isolated for extreme cold weather) capacity 1271 L (336 gal)– Tank above deck capacity 1514 L (400 gal) High volume water injection (maximum) – tanks total capacity 2786 L (736 gal)– Tank below deck (isolated for extreme cold weather) capacity 1271 L (336 gal)– Tank above deck capacity 1514 L (400 gal);['High', 'volume'];['(400', 'gal)']
Rotary Drills;MD6250;Choices (4);Static dust curtains, four sided/boxed enclosed Static dust curtains, four sided/boxed enclosed;['Static', 'dust'];['sided/boxed', 'enclosed']
Rotary Drills;MD6250;Package (1);Fast fill for fuel and water, automated lubrication system Fast fill for fuel and water, automated lubrication system;['Fast', 'fill'];['lubrication', 'system']
Rotary Drills;MD6250;Package (2);Service center for lubricant drain and fill, automated lubrication system, fast fill fuel and water, blow down hose (option) Service center for lubricant drain and fill, automated lubrication system, fast fill fuel and water, blow down hose (option);['Service', 'center'];['hose', '(option)']
Rotary Drills;MD6250;Working Weight Range;56 468 kg to 64 154 kg (124,490 lb to 141,436 lb) 56 468 kg to 64 154 kg (124,490 lb to 141,436 lb);['56', '468'];['141,436', 'lb)']
Rotary Drills;MD6310;Bit Load;Up to 42 149 kg (Up to 92,922 lb) Up to 42 149 kg (Up to 92,922 lb);['Up', 'to'];['92,922', 'lb)']
Rotary Drills;MD6310;Hole Diameter;203-311 mm (8-12.25 in) 203-311 mm (8-12.25 in);['203-311', 'mm'];['(8-12.25', 'in)']
Rotary Drills;MD6310;Engine;C32® @ 1,800 rpm C32® @ 1,800 rpm;['C32®', '@'];['1,800', 'rpm']
Rotary Drills;MD6310;Body Length - Standard Cab;43.54 ft 13.27 m;['43.54', 'ft'];['13.27', 'm']
Rotary Drills;MD6310;Length - Mast Down - Extended Cab;83.33 ft 25.43 m;['83.33', 'ft'];['25.43', 'm']
Rotary Drills;MD6310;Length - Mast Down - Standard Cab;81.69 ft 24.9 m;['81.69', 'ft'];['24.9', 'm']
Rotary Drills;MD6310;Width - Front;17.68 ft 5.39 m;['17.68', 'ft'];['5.39', 'm']
Rotary Drills;MD6310;Body Length - Extended Cab;42.24 ft 13.79 m;['42.24', 'ft'];['13.79', 'm']
Rotary Drills;MD6310;Height - Mast Up;77.99 ft 23.77 m;['77.99', 'ft'];['23.77', 'm']
Rotary Drills;MD6310;Width - Rear;20.73 ft 6.32 m;['20.73', 'ft'];['6.32', 'm']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Hoist Speed;122.7 ft/min 37.4 m/min;['122.7', 'ft/min'];['37.4', 'm/min']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Hoist Speed;122.7 ft/min 37.4 m/min;['122.7', 'ft/min'];['37.4', 'm/min']
Rotary Drills;MD6310;Emissions (Equivalent to Tier 2): Engine;C32 @ 1,800 rpm C32 @ 1,800 rpm;['C32', '@'];['1,800', 'rpm']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Hole Diameter Range 203-311 mm (8-12.25 in) - Multi Pass Depth;Down to 74.6 m (Down to 244.9 ft) Down to 74.6 m (Down to 244.9 ft);['Down', 'to'];['244.9', 'ft)']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Hole Diameter Range 203-311 mm (8-12.25 in) - Multi Pass Depth;Down to 47.9 m (Down to 157.4 ft) Down to 47.9 m (Down to 157.4 ft);['Down', 'to'];['157.4', 'ft)']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Pulldown Capacity;Up to 39 009 kg (Up to 86,000 lb) Up to 39 009 kg (Up to 86,000 lb);['Up', 'to'];['86,000', 'lb)']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Hole Diameter Range 203-311 mm (8-12.25 in) - Single Pass Depth;57.4 ft 17.5 m;['57.4', 'ft'];['17.5', 'm']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Hole Diameter Range;203-311 mm (8-12.25 in) 203-311 mm (8-12.25 in);['203-311', 'mm'];['(8-12.25', 'in)']
Rotary Drills;MD6310;Angle Drilling;Vertical to 30° (in 5° increments) Vertical to 30° (in 5° increments);['Vertical', 'to'];['5°', 'increments)']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Hole Diameter Range;203-311 mm (8-12.25 in) 203-311 mm (8-12.25 in);['203-311', 'mm'];['(8-12.25', 'in)']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Bit Load - Single Pass;Up to 42 149 kg (Up to 92,922 lb) Up to 42 149 kg (Up to 92,922 lb);['Up', 'to'];['92,922', 'lb)']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Hoist Capacity;Up to 29 484 kg (Up to 65,000 lb) Up to 29 484 kg (Up to 65,000 lb);['Up', 'to'];['65,000', 'lb)']
Rotary Drills;MD6310;Compressor - Rotary Drilling (1);56.6 m³/min (2,000 ft³/min) @ 8.6 bar (125 psi) 56.6 m³/min (2,000 ft³/min) @ 8.6 bar (125 psi);['56.6', 'm³/min'];['(125', 'psi)']
Rotary Drills;MD6310;Compressor - Rotary Drilling (2);73.6 m³/min (2,600 ft³/min) @ 7.6 bar (110 psi) 73.6 m³/min (2,600 ft³/min) @ 7.6 bar (110 psi);['73.6', 'm³/min'];['(110', 'psi)']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Pulldown Capacity;Up to 39 009 kg (Up to 86,000 lb) Up to 39 009 kg (Up to 86,000 lb);['Up', 'to'];['86,000', 'lb)']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Hole Diameter Range 203-311 mm (8-12.25 in) - Single Pass Depth;44.9 ft 13.7 m;['44.9', 'ft'];['13.7', 'm']
Rotary Drills;MD6310;Emissions (U.S. EPA Tier 4 Final): Engine;C32 @ 1,800 rpm C32 @ 1,800 rpm;['C32', '@'];['1,800', 'rpm']
Rotary Drills;MD6310;Compressor - DTH Drilling;42.2 m³/min (1,500 ft³/min) @ 34.4 bar (500 psi) 42.2 m³/min (1,500 ft³/min) @ 34.4 bar (500 psi);['42.2', 'm³/min'];['(500', 'psi)']
Rotary Drills;MD6310;17.5 m (57.4 ft) Mast - Hoist Capacity;Up to 29 484 kg (Up to 65,000 lb) Up to 29 484 kg (Up to 65,000 lb);['Up', 'to'];['65,000', 'lb)']
Rotary Drills;MD6310;13.7 m (44.9 ft) Mast - Bit Load - Single Pass;Up to 41 165 kg (Up to 90,753 lb) Up to 41 165 kg (Up to 90,753 lb);['Up', 'to'];['90,753', 'lb)']
Rotary Drills;MD6310;Emissions (U.S. EPA Tier 4 Final): Power Rating ISO 14396;1007 HP 751 kW;['1007', 'HP'];['751', 'kW']
Rotary Drills;MD6310;Emissions (Equivalent to Tier 2): Power Rating ISO 14396;1031 HP 769 kW;['1031', 'HP'];['769', 'kW']
Rotary Drills;MD6310;Drawbar Pull;122971 lbf 547000 N;['122971', 'lbf'];['547000', 'N']
Rotary Drills;MD6310;Track chain guards and guides;Level two Level two;['Level', 'two'];['Level', 'two']
Rotary Drills;MD6310;Travel Speed;1.5 mile/h 2.45 km/h;['1.5', 'mile/h'];['2.45', 'km/h']
Rotary Drills;MD6310;Lower rollers;Thirteen (13) Thirteen (13);['Thirteen', '(13)'];['Thirteen', '(13)']
Rotary Drills;MD6310;Model;Cat® 349E EL Excavator type Cat® 349E EL Excavator type;['Cat®', '349E'];['Excavator', 'type']
Rotary Drills;MD6310;Carrier Rollers;Three (3) Three (3);['Three', '(3)'];['Three', '(3)']
Rotary Drills;MD6310;Triple grousers for hard rock ground bearing pressure 1.59 bar (23.1 psi);23.6 in 600 mm;['23.6', 'in'];['600', 'mm']
Rotary Drills;MD6310;Triple grousers for soft rock ground bearing pressure 1.28 bar (18.5 psi);29.5 in 750 mm;['29.5', 'in'];['750', 'mm']
Rotary Drills;MD6310;Components (10);In-deck mounted battery box In-deck mounted battery box;['In-deck', 'mounted'];['battery', 'box']
Rotary Drills;MD6310;Components (9);Self-closing, gates secure egress ladder locations Self-closing, gates secure egress ladder locations;['Self-closing,', 'gates'];['ladder', 'locations']
Rotary Drills;MD6310;Components (12);Air hose retention devices Air hose retention devices;['Air', 'hose'];['retention', 'devices']
Rotary Drills;MD6310;Components (2);Seven (7) engine shut down buttons: in cab, at drill deck, on deck at power train, ground accessible by main access point and each side of the drill front and left Seven (7) engine shut down buttons: in cab, at drill deck, on deck at power train, ground accessible by main access point and each side of the drill front and left;['Seven', '(7)'];['and', 'left']
Rotary Drills;MD6310;Components (6);Guards for exhaust pipes and turbo lines Guards for exhaust pipes and turbo lines;['Guards', 'for'];['turbo', 'lines']
Rotary Drills;MD6310;Feature;Approach angle of 14 degrees facilitates loading and unloading on a lowboy Approach angle of 14 degrees facilitates loading and unloading on a lowboy;['Approach', 'angle'];['a', 'lowboy']
Rotary Drills;MD6310;Components (7);Mast access ladder with mast grating (option) Mast access ladder with mast grating (option);['Mast', 'access'];['grating', '(option)']
Rotary Drills;MD6310;Components (4);Tram alarm is automatic and audible Tram alarm is automatic and audible;['Tram', 'alarm'];['and', 'audible']
Rotary Drills;MD6310;Components (11);Ground level keyed battery disconnect/starter lockout with remote jump start terminals Ground level keyed battery disconnect/starter lockout with remote jump start terminals;['Ground', 'level'];['start', 'terminals']
Rotary Drills;MD6310;Components (1);Alloy drill deck covers, with storage provision Alloy drill deck covers, with storage provision;['Alloy', 'drill'];['storage', 'provision']
Rotary Drills;MD6310;Components (5);Hinged protective guard for full front drill window Hinged protective guard for full front drill window;['Hinged', 'protective'];['drill', 'window']
Rotary Drills;MD6310;Components (3);Electric horn activated by push button in the cab Electric horn activated by push button in the cab;['Electric', 'horn'];['the', 'cab']
Rotary Drills;MD6310;Components (8);Three egress points on deck areas in addition to main access Three egress points on deck areas in addition to main access;['Three', 'egress'];['main', 'access']
Rotary Drills;MD6310;Components (10);Filter indicators for hydraulic, compressor and engine Filter indicators for hydraulic, compressor and engine;['Filter', 'indicators'];['and', 'engine']
Rotary Drills;MD6310;Components (14);ECM controlled proportional fan speed control system ECM controlled proportional fan speed control system;['ECM', 'controlled'];['control', 'system']
Rotary Drills;MD6310;Components (23);"Data logging of machine health with warnings, and fault code records; export capability Data logging of machine health with warnings, and fault code records; export capability";['Data', 'logging'];['export', 'capability']
